HASC,ISO,FIPS,Administration Code,Province,Infected,Active,Recovered,Deaths
VN.HI,HN,VM44,1,Ha Noi,737,271,449,16
VN.HG,3,VM50,2,Ha Giang,4,1,3,0
VN.CB,4,VM05,4,Cao Bang,0,0,0,0
VN.BK,53,VM72,6,Bac Kan,2,2,0,0
VN.TQ,7,VM68,8,Tuyen Quang,1,0,1,0
VN.LO,2,VM90,10,Lao Cai,4,2,2,0
VN.DB,71,VM92,11,Dien Bien,59,43,16,0
VN.LI,1,VM89,12,Lai Chau,1,0,1,0
VN.SL,5,VM32,14,Son La,1,1,0,0
VN.YB,6,VM70,15,Yen Bai,5,0,5,0
VN.HO,14,VM53,17,Hoa Binh,38,7,31,0
VN.TY,69,VM85,19,Thai Nguyen,9,2,7,0
VN.LS,9,VM39,20,Lang Son,105,93,11,1
VN.QN,13,VM30,22,Quang Ninh,90,5,85,0
VN.BG,54,VM71,24,Bac Giang,5465,4251,1211,3
VN.PT,68,VM83,25,Phu Tho,8,5,3,0
VN.VC,70,VM86,26,Vinh Phuc,113,67,46,0
VN.BN,56,VM74,27,Bac Ninh,1545,912,627,6
VN.HD,61,VM79,30,Hai Duong,812,17,795,0
VN.HP,HP,VM13,31,Hai Phong,12,0,12,0
VN.HY,66,VM81,33,Hung Yen,75,12,63,0
VN.TB,20,VM35,34,Thai Binh,65,18,47,0
VN.HM,63,VM80,35,Ha Nam,56,31,25,0
VN.ND,67,VM82,36,Nam Dinh,26,8,18,0
VN.NB,18,VM59,37,Ninh Binh,48,12,36,0
VN.TH,21,VM34,38,Thanh Hoa,29,3,26,0
VN.NA,22,VM58,40,Nghe An,31,27,4,0
VN.HT,23,VM52,42,Ha Tinh,92,86,6,0
VN.QB,24,VM62,44,Quang Binh,0,0,0,0
VN.QT,25,VM64,45,Quang Tri,13,0,12,1
VN.TT,26,VM66,46,Thua Thien Hue,6,0,6,0
VN.DA,DN,VM78,48,Da Nang,688,48,605,32
VN.QM,27,VM84,49,Quang Nam,133,15,115,3
VN.QG,29,VM63,51,Quang Ngai,8,1,7,0
VN.BD,31,VM46,52,Binh Dinh,1,0,1,0
VN.PY,32,VM61,54,Phu Yen,28,0,28,0
VN.KH,34,VM54,56,Khanh Hoa,147,19,128,0
VN.NT,36,VM60,58,Ninh Thuan,12,0,12,0
VN.BU,40,VM47,60,Binh Thuan,11,1,10,0
VN.KT,28,VM55,62,Kon Tum,0,0,0,0
VN.GL,30,VM49,64,Gia Lai,28,1,27,0
VN.DC,33,VM88,66,Dak Lak,7,4,3,0
VN.DO,72,VM91,67,Dak Nong,0,0,0,0
VN.LD,35,VM23,68,Lam Dong,0,0,0,0
VN.BP,58,VM76,70,Binh Phuoc,0,0,0,0
VN.TN,37,VM33,72,Tay Ninh,81,42,38,1
VN.BI,57,VM75,74,Binh Duong,132,87,45,0
VN.DN,39,VM43,75,Dong Nai,33,3,30,0
VN.BV,43,VM45,77,Ba Ria - Vung Tau,138,23,115,0
VN.HC,SG,VM20,79,Ho Chi Minh,1944,1629,314,1
VN.LA,41,VM24,80,Long An,32,22,10,0
VN.TG,46,VM37,82,Tien Giang,50,45,5,0
VN.BR,50,VM03,83,Ben Tre,20,2,18,0
VN.TV,51,VM67,84,Tra Vinh,10,2,8,0
VN.VL,49,VM69,86,Vinh Long,15,6,9,0
VN.DT,45,VM09,87,Dong Thap,30,3,27,0
VN.AG,44,VM01,89,An Giang,25,20,5,0
VN.KG,47,VM21,91,Kien Giang,67,43,24,0
VN.CN,CT,VM87,92,Can Tho,34,0,34,0
VN.HU,73,VM93,93,Hau Giang,0,0,0,0
VN.ST,52,VM65,94,Soc Trang,19,19,0,0
VN.BL,55,VM73,95,Bac Lieu,53,0,53,0
VN.CM,59,VM77,96,Ca Mau,8,0,8,0